"Date","Price","Open","High","Low","Vol.","Change %"
"18.08.2023","175,33","175,83","176,05","175,10","6,25M","0,02%"
"17.08.2023","175,30","176,53","176,56","174,93","7,94M","-0,15%"
"16.08.2023","175,57","176,62","176,95","175,56","6,56M","-0,58%"
"15.08.2023","176,59","176,75","177,43","176,33","7,58M","-0,27%"
"14.08.2023","177,06","176,86","177,58","176,58","9,55M","-0,30%"
"11.08.2023","177,60","177,70","178,36","177,49","5,29M","0,00%"
"10.08.2023","177,60","178,22","178,70","177,54","5,93M","-0,11%"
"09.08.2023","177,79","178,68","178,92","177,78","4,64M","-0,48%"
"08.08.2023","178,64","178,64","179,33","178,46","6,16M","-0,63%"
"07.08.2023","179,78","180,15","180,15","179,27","4,51M","-0,23%"
"04.08.2023","180,19","180,25","180,77","179,85","5,33M","0,36%"
"03.08.2023","179,54","179,44","179,95","179,28","4,64M","-0,03%"
"02.08.2023","179,60","180,57","180,79","179,41","6,35M","-0,48%"
"01.08.2023","180,46","180,85","181,38","180,19","6,29M","-1,04%"
"31.07.2023","182,35","182,43","183,09","182,31","5,50M","0,27%"
"28.07.2023","181,86","181,48","182,27","181,25","3,83M","0,80%"
"27.07.2023","180,42","181,64","181,64","180,32","7,59M","-1,57%"
"26.07.2023","183,30","182,66","183,64","182,31","6,16M","0,49%"
"25.07.2023","182,41","181,72","182,47","181,10","4,09M","0,56%"
"24.07.2023","181,40","182,22","182,54","181,34","4,37M","-0,43%"
"21.07.2023","182,18","182,06","182,46","181,68","3,85M","-0,31%"
"20.07.2023","182,74","183,73","183,77","182,47","4,97M","-0,51%"
"19.07.2023","183,67","183,45","183,84","182,87","3,91M","0,02%"
"18.07.2023","183,64","182,79","184,23","182,32","8,24M","1,15%"
"17.07.2023","181,56","180,99","181,63","180,64","4,15M","0,07%"
"14.07.2023","181,43","181,59","182,17","181,11","5,39M","-0,32%"
"13.07.2023","182,01","181,96","182,15","181,49","4,53M","0,07%"
"12.07.2023","181,88","181,18","181,95","181,10","7,06M","1,35%"
"11.07.2023","179,45","179,43","179,71","179,13","2,82M","0,37%"
"10.07.2023","178,78","178,37","178,92","178,26","3,32M","0,08%"
"07.07.2023","178,64","178,38","179,65","178,35","5,20M","0,75%"
"06.07.2023","177,31","177,51","177,80","176,66","5,13M","-0,30%"
"05.07.2023","177,84","179,41","179,42","177,82","5,65M","-0,35%"
"03.07.2023","178,47","178,61","179,34","178,46","4,09M","0,11%"
"30.06.2023","178,27","177,69","178,53","177,32","6,42M","0,67%"
"29.06.2023","177,09","175,83","177,63","175,79","6,86M","-0,11%"
"28.06.2023","177,28","177,23","177,68","176,70","5,87M","-0,23%"
"27.06.2023","177,69","179,07","179,29","177,43","5,04M","-0,46%"
"26.06.2023","178,51","179,05","179,07","178,42","3,22M","0,17%"
"23.06.2023","178,20","179,60","179,95","178,09","5,42M","0,28%"
"22.06.2023","177,71","178,36","178,99","177,63","7,95M","-0,99%"
"21.06.2023","179,49","179,15","179,95","178,19","6,70M","-0,14%"
"20.06.2023","179,75","180,06","180,09","179,22","7,59M","-1,04%"
